68.0,64.0,60.0,62.0,66.0,64.0,61.0,66.0,63.0,65.0,65.0,64.0,65.0,64.0,nan,nan,nan,nan,nan,nan,64.0,66.0,69.0,66.0,67.0,60.0,73.0,60.0,64.0,64.0,64.0,71.0,64.0,69.0,61.0,69.0,63.0,68.0,63.0,73.0,59.0,68.0,65.0,65.0,67.0,72.0,71.0,71.0,68.0,66.0,69.0,71.0,69.0
76.0,75.0,75.0,74.0,75.0,75.0,75.0,75.0,75.0,74.0,73.0,74.0,75.0,76.0,nan,nan,nan,nan,nan,71.0,70.0,75.0,78.0,78.0,74.0,73.0,77.0,74.0,78.0,78.0,77.0,74.0,76.0,76.0,78.0,74.0,78.0,79.0,75.0,76.0,79.0,80.0,79.0,79.0,76.0,81.0,81.0,80.0,80.0,76.0,79.0,80.0,77.0
72.0,70.0,66.0,70.0,70.0,73.0,71.0,69.0,72.0,69.0,68.0,67.0,71.0,70.0,nan,nan,nan,nan,nan,64.0,70.0,68.0,70.0,66.0,73.0,69.0,72.0,72.0,79.0,68.0,68.0,71.0,70.0,72.0,73.0,73.0,70.0,73.0,71.0,74.0,73.0,66.0,72.0,76.0,71.0,74.0,72.0,76.0,73.0,74.0,72.0,76.0
45.0,55.0,42.0,41.0,46.0,40.0,48.0,44.0,45.0,49.0,50.0,38.0,26.0,nan,nan,nan,nan,nan,nan,53.0,45.0,46.0,51.0,44.0,47.0,55.0,57.0,45.0,44.0,59.0,47.0,49.0,58.0,54.0,55.0,42.0,55.0,40.0,46.0,48.0,45.0,57.0,53.0,51.0,43.0,53.0,59.0,53.0,58.0,48.0,63.0,56.0,nan
15.0,22.0,11.0,15.0,18.0,18.0,21.0,19.0,25.0,21.0,18.0,20.0,23.0,9.0,nan,nan,nan,nan,nan,nan,19.0,10.0,18.0,20.0,16.0,17.0,24.0,17.0,14.0,17.0,21.0,12.0,23.0,20.0,18.0,24.0,21.0,17.0,16.0,22.0,18.0,25.0,10.0,26.0,6.0,29.0,22.0,24.0,27.0,7.0,4.0,23.0,14.0
46.0,43.0,42.0,49.0,51.0,51.0,49.0,41.0,53.0,50.0,49.0,44.0,43.0,45.0,nan,nan,nan,nan,nan,52.0,51.0,44.0,48.0,47.0,54.0,46.0,50.0,46.0,46.0,50.0,55.0,48.0,44.0,49.0,53.0,52.0,47.0,53.0,49.0,53.0,52.0,51.0,52.0,54.0,48.0,56.0,51.0,51.0,50.0,44.0,52.0,51.0,47.0
20.0,25.0,18.0,27.0,18.0,20.0,22.0,21.0,21.0,20.0,27.0,15.0,26.0,29.0,nan,nan,nan,nan,nan,18.0,27.0,20.0,21.0,27.0,17.0,27.0,22.0,25.0,25.0,25.0,24.0,20.0,24.0,29.0,27.0,21.0,25.0,23.0,25.0,27.0,23.0,28.0,25.0,23.0,28.0,27.0,30.0,26.0,20.0,19.0,28.0,26.0
3.0,-4.0,-8.0,11.0,2.0,4.0,0.0,8.0,0.0,15.0,4.0,-2.0,2.0,nan,nan,nan,nan,nan,nan,-24.0,5.0,-5.0,-1.0,8.0,5.0,11.0,10.0,5.0,-6.0,6.0,0.0,7.0,16.0,10.0,5.0,9.0,17.0,7.0,5.0,4.0,15.0,8.0,12.0,4.0,12.0,8.0,14.0,11.0,0.0,1.0,9.0,3.0,nan
